Picture Number:    0	Temporal Layer Index:    0	 QP:    6	 Average QP:    6  [ PSNR-Y: 47.09 dB,	PSNR-U: 48.83 dB,	PSNR-V: 49.41 dB,	MSE-Y: 1.27,	MSE-U: 0.85,	MSE-V: 0.74,	SSIM-Y: 0.99391,	SSIM-U: 0.99258,	SSIM-V: 0.99299 ]	   5751 bytes
Picture Number:    1	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 47.30 dB,	PSNR-U: 48.59 dB,	PSNR-V: 49.22 dB,	MSE-Y: 1.21,	MSE-U: 0.90,	MSE-V: 0.78,	SSIM-Y: 0.99400,	SSIM-U: 0.99222,	SSIM-V: 0.99261 ]	   1491 bytes
Picture Number:    2	Temporal Layer Index:    4	 QP:   32	 Average QP:   32  [ PSNR-Y: 47.10 dB,	PSNR-U: 48.50 dB,	PSNR-V: 49.21 dB,	MSE-Y: 1.27,	MSE-U: 0.92,	MSE-V: 0.78,	SSIM-Y: 0.99388,	SSIM-U: 0.99205,	SSIM-V: 0.99264 ]	      5 bytes
Picture Number:    3	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 47.14 dB,	PSNR-U: 48.56 dB,	PSNR-V: 49.18 dB,	MSE-Y: 1.26,	MSE-U: 0.91,	MSE-V: 0.78,	SSIM-Y: 0.99394,	SSIM-U: 0.99209,	SSIM-V: 0.99257 ]	     23 bytes
Picture Number:    4	Temporal Layer Index:    3	 QP:   28	 Average QP:   28  [ PSNR-Y: 46.54 dB,	PSNR-U: 48.24 dB,	PSNR-V: 49.19 dB,	MSE-Y: 1.44,	MSE-U: 0.98,	MSE-V: 0.78,	SSIM-Y: 0.99383,	SSIM-U: 0.99199,	SSIM-V: 0.99263 ]	      5 bytes
Picture Number:    5	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 44.53 dB,	PSNR-U: 48.04 dB,	PSNR-V: 48.85 dB,	MSE-Y: 2.29,	MSE-U: 1.02,	MSE-V: 0.85,	SSIM-Y: 0.99294,	SSIM-U: 0.99147,	SSIM-V: 0.99187 ]	    107 bytes
Picture Number:    6	Temporal Layer Index:    4	 QP:   32	 Average QP:   32  [ PSNR-Y: 43.63 dB,	PSNR-U: 48.02 dB,	PSNR-V: 48.83 dB,	MSE-Y: 2.82,	MSE-U: 1.03,	MSE-V: 0.85,	SSIM-Y: 0.99259,	SSIM-U: 0.99139,	SSIM-V: 0.99176 ]	      5 bytes
Picture Number:    7	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 44.92 dB,	PSNR-U: 48.23 dB,	PSNR-V: 49.07 dB,	MSE-Y: 2.10,	MSE-U: 0.98,	MSE-V: 0.81,	SSIM-Y: 0.99334,	SSIM-U: 0.99195,	SSIM-V: 0.99238 ]	     22 bytes
Picture Number:    8	Temporal Layer Index:    2	 QP:   21	 Average QP:   21  [ PSNR-Y: 45.91 dB,	PSNR-U: 48.28 dB,	PSNR-V: 49.13 dB,	MSE-Y: 1.67,	MSE-U: 0.97,	MSE-V: 0.79,	SSIM-Y: 0.99356,	SSIM-U: 0.99205,	SSIM-V: 0.99255 ]	      5 bytes
Picture Number:    9	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 45.02 dB,	PSNR-U: 48.23 dB,	PSNR-V: 49.12 dB,	MSE-Y: 2.05,	MSE-U: 0.98,	MSE-V: 0.80,	SSIM-Y: 0.99313,	SSIM-U: 0.99192,	SSIM-V: 0.99262 ]	     94 bytes
Picture Number:   10	Temporal Layer Index:    4	 QP:   33	 Average QP:   33  [ PSNR-Y: 44.16 dB,	PSNR-U: 48.30 dB,	PSNR-V: 49.10 dB,	MSE-Y: 2.50,	MSE-U: 0.96,	MSE-V: 0.80,	SSIM-Y: 0.99272,	SSIM-U: 0.99213,	SSIM-V: 0.99257 ]	      5 bytes
Picture Number:   11	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 43.37 dB,	PSNR-U: 48.22 dB,	PSNR-V: 48.67 dB,	MSE-Y: 2.99,	MSE-U: 0.98,	MSE-V: 0.88,	SSIM-Y: 0.99211,	SSIM-U: 0.99189,	SSIM-V: 0.99179 ]	     22 bytes
Picture Number:   12	Temporal Layer Index:    3	 QP:   31	 Average QP:   31  [ PSNR-Y: 43.19 dB,	PSNR-U: 48.30 dB,	PSNR-V: 48.73 dB,	MSE-Y: 3.12,	MSE-U: 0.96,	MSE-V: 0.87,	SSIM-Y: 0.99222,	SSIM-U: 0.99204,	SSIM-V: 0.99193 ]	      5 bytes
Picture Number:   13	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 42.98 dB,	PSNR-U: 48.23 dB,	PSNR-V: 48.51 dB,	MSE-Y: 3.28,	MSE-U: 0.98,	MSE-V: 0.92,	SSIM-Y: 0.99199,	SSIM-U: 0.99196,	SSIM-V: 0.99152 ]	     51 bytes
Picture Number:   14	Temporal Layer Index:    4	 QP:   33	 Average QP:   33  [ PSNR-Y: 42.27 dB,	PSNR-U: 48.14 dB,	PSNR-V: 48.50 dB,	MSE-Y: 3.86,	MSE-U: 1.00,	MSE-V: 0.92,	SSIM-Y: 0.99114,	SSIM-U: 0.99180,	SSIM-V: 0.99154 ]	      5 bytes
Picture Number:   15	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 42.46 dB,	PSNR-U: 47.94 dB,	PSNR-V: 48.47 dB,	MSE-Y: 3.69,	MSE-U: 1.05,	MSE-V: 0.92,	SSIM-Y: 0.99102,	SSIM-U: 0.99162,	SSIM-V: 0.99153 ]	     23 bytes
Picture Number:   16	Temporal Layer Index:    1	 QP:   27	 Average QP:   27  [ PSNR-Y: 42.51 dB,	PSNR-U: 47.90 dB,	PSNR-V: 48.54 dB,	MSE-Y: 3.64,	MSE-U: 1.05,	MSE-V: 0.91,	SSIM-Y: 0.99050,	SSIM-U: 0.99176,	SSIM-V: 0.99160 ]	      5 bytes
Picture Number:   17	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.70 dB,	PSNR-U: 47.65 dB,	PSNR-V: 48.30 dB,	MSE-Y: 4.39,	MSE-U: 1.12,	MSE-V: 0.96,	SSIM-Y: 0.98949,	SSIM-U: 0.99158,	SSIM-V: 0.99146 ]	    764 bytes
Picture Number:   18	Temporal Layer Index:    4	 QP:   33	 Average QP:   33  [ PSNR-Y: 41.52 dB,	PSNR-U: 47.24 dB,	PSNR-V: 48.21 dB,	MSE-Y: 4.58,	MSE-U: 1.23,	MSE-V: 0.98,	SSIM-Y: 0.98928,	SSIM-U: 0.99143,	SSIM-V: 0.99143 ]	      5 bytes
Picture Number:   19	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.01 dB,	PSNR-U: 46.75 dB,	PSNR-V: 47.91 dB,	MSE-Y: 5.15,	MSE-U: 1.37,	MSE-V: 1.05,	SSIM-Y: 0.98875,	SSIM-U: 0.99109,	SSIM-V: 0.99120 ]	     22 bytes
Picture Number:   20	Temporal Layer Index:    3	 QP:   31	 Average QP:   31  [ PSNR-Y: 40.39 dB,	PSNR-U: 46.20 dB,	PSNR-V: 47.86 dB,	MSE-Y: 5.95,	MSE-U: 1.56,	MSE-V: 1.06,	SSIM-Y: 0.98772,	SSIM-U: 0.99096,	SSIM-V: 0.99135 ]	      5 bytes
Picture Number:   21	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.47 dB,	PSNR-U: 46.58 dB,	PSNR-V: 47.92 dB,	MSE-Y: 4.64,	MSE-U: 1.43,	MSE-V: 1.05,	SSIM-Y: 0.98873,	SSIM-U: 0.99095,	SSIM-V: 0.99118 ]	     55 bytes
Picture Number:   22	Temporal Layer Index:    4	 QP:   33	 Average QP:   33  [ PSNR-Y: 41.73 dB,	PSNR-U: 46.45 dB,	PSNR-V: 47.97 dB,	MSE-Y: 4.36,	MSE-U: 1.47,	MSE-V: 1.04,	SSIM-Y: 0.98906,	SSIM-U: 0.99072,	SSIM-V: 0.99136 ]	      5 bytes
Picture Number:   23	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 41.98 dB,	PSNR-U: 46.56 dB,	PSNR-V: 47.89 dB,	MSE-Y: 4.12,	MSE-U: 1.43,	MSE-V: 1.06,	SSIM-Y: 0.98923,	SSIM-U: 0.99089,	SSIM-V: 0.99108 ]	     24 bytes
Picture Number:   24	Temporal Layer Index:    2	 QP:   21	 Average QP:   21  [ PSNR-Y: 42.79 dB,	PSNR-U: 46.62 dB,	PSNR-V: 48.10 dB,	MSE-Y: 3.42,	MSE-U: 1.41,	MSE-V: 1.01,	SSIM-Y: 0.98973,	SSIM-U: 0.99070,	SSIM-V: 0.99136 ]	      5 bytes
Picture Number:   25	Temporal Layer Index:    5	 QP:   35	 Average QP:   35  [ PSNR-Y: 42.27 dB,	PSNR-U: 46.91 dB,	PSNR-V: 48.08 dB,	MSE-Y: 3.85,	MSE-U: 1.32,	MSE-V: 1.01,	SSIM-Y: 0.98964,	SSIM-U: 0.99119,	SSIM-V: 0.99125 ]	    127 bytes
