#{"t_start": 1749514749.4972477, "env_id": "None"}
r,l,t
1.701852,100,5.497526
2.598692,100,9.398903
2.00029,100,13.575445
0.0,1,18.589568
1.796584,100,23.293192
2.518184,100,27.320307
2.030794,100,31.682554
0.0,1,36.69298
1.853676,100,41.301664
2.487267,100,45.255395
1.868043,100,49.442634
0.0,1,54.453081
1.66349,100,59.069498
2.467881,100,63.110515
1.999721,100,67.316146
0.0,1,72.326527
1.901773,100,76.964651
2.345433,100,81.057259
1.833879,100,85.293245
0.0,1,90.303532
1.870259,100,94.898686
2.407467,100,98.961488
1.911458,100,103.094041
0.0,1,108.104407
1.764987,100,112.730783
2.497557,100,116.79775
4.83784,57,125.534727
8.418588,100,129.795432
9.054539,100,133.020656
